"start_station_name","ride_count","rider_type"
"Racine Ave & Randolph St","2538","member"
"Chicago Ave & Sheridan Rd","2534","casual"
"Halsted St & Willow St","2534","casual"
"Delano Ct & Roosevelt Rd","2517","casual"
"Broadway & Oakdale Ave","2516","member"
"Marine Dr & Ainslie St","2515","casual"
"Western Ave & Winnebago Ave","2506","casual"
"Sheridan Rd & Argyle St","2503","casual"
"Leavitt St & Lawrence Ave","2503","member"
"Leavitt St & Division St","2493","member"
"Streeter Dr/Grand Ave","2482","casual"
"Southport Ave & Irving Park Rd","2465","casual"
"Calumet Ave & 21st St","2464","casual"
"Wells St & Institute Pl","2459","casual"
"Green St & Lake St ","2456","member"
"Clark St & Montrose Ave","2456","casual"
"Lincoln Ave & Addison St","2447","member"
"State St & Pearson St","2440","casual"
"Griffin Museum of Science and Industry","2439","member"
"Orleans St & Chestnut St (NEXT Apts)","2427","casual"
"Ashland Ave & Blackhawk St","2426","casual"
"W Armitage Ave & N Sheffield Ave","2420","member"
"Calumet Ave & 21st St","2414","member"
"Fort Dearborn Dr & 31st St*","2390","casual"
"Sangamon St & Washington Blvd","2386","casual"
"Dearborn St & Van Buren St","2385","casual"
"Benson Ave & Church St","2385","casual"
"Walsh Park","2379","casual"
"Wabash Ave & 16th St","2374","casual"
"Canal St & Jackson Blvd","2369","casual"
"Chicago Ave & Sheridan Rd","2365","member"
"Greenview Ave & Fullerton Ave","2357","casual"
"Sheridan Rd & Loyola Ave","2355","member"
"Ashland Ave & 13th St","2354","member"
"Campbell Ave & Montrose Ave","2348","member"
"Orleans St & Hubbard St","2348","casual"
"Clark St & Lunt Ave","2339","member"
"Southport Ave & Clark St","2337","member"
"Ogden Ave & Congress Pkwy","2333","member"
"Damen Ave & Lake St","2322","member"
"Peterson/Ridge Metra","2320","member"
"Desplaines St & Randolph St","2288","casual"
"Halsted St & Polk St","2286","casual"
"Kimball Ave & Belmont Ave","2275","member"
"Franklin St & Adams St ","2270","casual"
"Morgan St & 31st St","2256","member"
"Clinton St & 18th St","2251","member"
"California Ave & Montrose Ave","2243","member"
"Milwaukee Ave & Rockwell St","2230","member"
"Damen Ave & Thomas St (Augusta Blvd)","2229","casual"
"Blackstone Ave & 59th St","2226","casual"
"Broadway & Granville Ave","2220","casual"
"Wilton Ave & Addison St","2214","member"
"Field Museum","2214","member"
"Canal St & Monroe St","2196","casual"
"Green St & Washington Blvd","2195","casual"
"California Ave & North Ave","2190","member"
"Dearborn St & Maple St","2174","member"
"Ogden Ave & Race Ave","2170","casual"
"Rockwell St & Eastwood Ave","2160","member"
"Wood St & Beach Ave","2160","member"
"California Ave & Division St","2146","member"
"Central Park Ave & Elbridge Ave","2143","member"
"Morgan St & Polk St","2143","casual"
"Clark St & Bryn Mawr Ave","2140","casual"
"May St & Taylor St","2135","casual"
"Woodlawn Ave & 58th St","2117","casual"
"Wacker Dr & Washington St","2089","casual"
"Clinton St & Roosevelt Rd","2078","casual"
"Jefferson St & Monroe St","2078","casual"
"Milwaukee Ave & Fullerton Ave","2076","member"
"N Carpenter St & W Lake St","2071","member"
"California Ave & Altgeld St","2055","member"
"Paulina Ave & North Ave","2051","casual"
"Racine Ave & 15th St","2045","member"
"Clarendon Ave & Leland Ave","2035","casual"
"Western Ave & Walton St","2032","casual"
"Broadway & Thorndale Ave","2029","casual"
"Lake Park Ave & 53rd St","2023","casual"
"Aberdeen St & Monroe St","2016","casual"
"Clark St & Schreiber Ave","2013","member"
"Cornell Ave & Hyde Park Blvd","2012","casual"
"Talman Ave & Addison St","1999","member"
"Dearborn St & Division St","1999","member"
"Winthrop Ave & Lawrence Ave","1996","casual"
"Lincoln Ave & Roscoe St*","1994","casual"
"Canal St & Harrison St","1991","member"
"Broadway & Argyle St","1985","casual"
"Sheridan Rd & Columbia Ave","1982","member"
"Wacker Dr & Washington St Corral","1978","member"
"Broadway & Sunnyside Ave","1969","member"
"Humboldt Blvd & Armitage Ave","1968","casual"
"Avondale Ave & Irving Park Rd","1964","member"
"Sheffield Ave & Willow St","1961","casual"
"Racine Ave & Wrightwood Ave","1956","casual"
"Fairbanks St & Superior St","1954","casual"
"Racine Ave & 18th St","1939","casual"
"Broadway & Berwyn Ave","1929","casual"
"Noble St & Milwaukee Ave","1908","casual"
"Washtenaw Ave & Lawrence Ave","1901","member"
"Cannon Dr & Fullerton Ave","1888","member"
"Eckhart Park","1885","casual"
"Elizabeth St & Fulton St","1883","casual"
"St. Louis Ave & Fullerton Ave","1881","member"
"Greenview Ave & Jarvis Ave","1877","member"
"Lake Park Ave & 56th St","1871","casual"
"Damen Ave & Leland Ave","1868","casual"
"Harper Ave & 59th St","1868","member"
"Greenview Ave & Diversey Pkwy","1867","casual"
"McCormick Place","1838","member"
"Damen Ave & Foster Ave","1833","casual"
"Ada St & Washington Blvd","1829","casual"
"California Ave & Cortez St","1825","casual"
"Damen Ave & Charleston St","1822","casual"
"Wilton Ave & Addison St","1821","casual"
"Damen Ave & Wabansia Ave","1808","member"
"Larrabee St & North Ave","1799","casual"
"Canal St & Taylor St","1795","casual"
"LaSalle St & Washington St","1789","casual"
"Wabash Ave & Washington St","1789","member"
"Wolcott (Ravenswood) Ave & Montrose Ave","1778","casual"
"State St & 35th St","1764","member"
